fixation,duration,start_time
156,332.1207000017166,55463.700299978256
157,300.39649999140966,55826.24769997597
158,211.09900003671646,56157.72349995375
159,272.33700001239777,56399.03909999132
160,212.74620002508163,56701.728699982166
161,150.29860001803172,57035.47639995813
162,302.67479997873306,57337.69129997492
163,358.79109996557236,57669.98949998617
164,181.13710004090535,58059.40709996224
165,124.7344999909401,58600.8438000083
166,6432.393299996853,58815.99509996176
167,815.7124999761581,72045.692900002
168,180.7088000178337,72891.7335999608
169,211.5343999862671,73375.09789997339
170,180.95329999923706,73616.4388999939
171,211.64819997549057,73827.7458999753
172,242.09769999980927,74069.2472999692
173,9423.7650000453,74341.47059994936
174,182.4877000451088,83917.73859995604
175,150.68860000371933,84221.18379998207
176,122.01399999856949,85338.2634999752
177,332.09759998321533,85489.38539999723
